Datetime(yyyy-MM-dd HH:mm:ss);GPS Speed;GPS Distance;Minutes on GPS;Speed Sensor;Voltage;Current;Watt;Cadence;PAS;Motor;Assist
2018-10-09 08:32:05;0;0;0;7,6;41,0;0,0;0,0;0;no;no;Assist FFA 40;
2018-10-09 08:32:06;0;0;0;7,4;41,0;0,0;0,0;44;yes;no;Assist FFA 40;
2018-10-09 08:32:07;0;0;0;7,4;40,7;1,6;65,1;40;yes;yes;Assist FFA 40;
2018-10-09 08:32:08;0;0;0;7,9;40,7;2,0;81,4;40;yes;yes;Assist FFA 40;
2018-10-09 08:32:09;0;0;0;8,4;40,7;2,8;113,9;44;yes;yes;Assist FFA 40;
2018-10-09 08:32:10;0;0;0;9,1;40,7;1,4;57,0;46;yes;yes;Assist FFA 40;
2018-10-09 08:32:11;0;0;0;9,4;40,7;2,0;81,4;52;yes;yes;Assist FFA 40;
2018-10-09 08:32:12;0;0;0;10,8;40,3;4,4;177,5;54;yes;yes;Assist FFA 40;
2018-10-09 08:32:13;0;0;0;11,7;40,7;1,8;73,2;62;yes;yes;Assist FFA 40;
2018-10-09 08:32:14;0;0;0;12,0;40,0;5,8;232,0;66;yes;yes;Assist FFA 40;
2018-10-09 08:32:15;0;0;0;14,3;40,3;5,4;217,9;74;yes;yes;Assist FFA 40;
2018-10-09 08:32:16;0;0;0;16,0;40,7;4,0;162,8;74;yes;yes;Assist FFA 40;
2018-10-09 08:32:17;0;0;0;17,2;40,7;2,4;97,7;72;yes;yes;Assist FFA 40;
2018-10-09 08:32:18;0;0;0;16,9;40,7;0,0;0,0;0;no;no;Assist FFA 40;
2018-10-09 08:32:19;0;0;0;16,2;40,7;0,0;0,0;0;no;no;Assist FFA 40;
2018-10-09 08:32:20;0;0;0;15,5;40,7;0,0;0,0;0;no;no;Assist FFA 40;
2018-10-09 08:32:21;0;0;0;14,8;41,0;0,0;0,0;0;no;no;Assist FFA 40;
2018-10-09 08:32:22;0;0;0;14,1;41,0;0,0;0,0;0;no;no;Assist FFA 40;
2018-10-09 08:32:23;0;0;0;13,7;41,0;0,0;0,0;0;no;no;Assist FFA 40;
2018-10-09 08:32:24;0;0;0;12,8;40,7;0,0;0,0;0;no;no;Assist FFA 40;
2018-10-09 08:32:25;0;0;0;12,4;41,0;2,6;106,7;60;yes;yes;Assist FFA 40;
2018-10-09 08:32:26;0;0;0;13,0;40,3;3,6;145,2;68;yes;yes;Assist FFA 40;
2018-10-09 08:32:27;0;0;0;14,0;40,3;5,2;209,8;68;yes;yes;Assist FFA 40;
2018-10-09 08:32:28;0;0;0;15,5;40,3;4,0;161,4;76;yes;yes;Assist FFA 40;
2018-10-09 08:32:29;0;0;0;16,2;40,7;2,6;105,8;66;yes;yes;Assist FFA 40;
2018-10-09 08:32:30;0;0;0;15,8;40,7;0,2;8,1;74;yes;yes;Assist FFA 40;
2018-10-09 08:32:31;0;0;0;15,8;40,3;4,6;185,6;84;yes;yes;Assist FFA 40;
2018-10-09 08:32:32;0;0;0;16,8;40,7;1,4;57,0;76;yes;yes;Assist FFA 40;
2018-10-09 08:32:33;0;0;0;16,0;40,7;0,0;0,0;0;no;no;Assist FFA 40;
2018-10-09 08:32:34;0;0;0;15,2;41,0;0,0;0,0;0;no;no;Assist FFA 40;
